"","f__Prevotellaceae","f__Paraprevotellaceae","g__Paraprevotella","g__Blautia","s__symbiosum","s__ramosum","f__Microbacteriaceae","s__hathewayi","g__Staphylococcus","s__adolescentis","s__citroniae","s__distasonis","s__stutzeri","o__Alteromonadales","s__fragilis","c__Gammaproteobacteria.f__Enterobacteriaceae.o__Enterobacteriales","f__Myxococcales.0319.6G20.s__Myxococcales.sp","c__Lentisphaeria.o__Victivallales.p__Lentisphaerae","g__Streptococcus.f__Brevibacteriaceae.s__Brevibacterium.sp.c__Bacilli","c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae","g__Erysipelotrichaceae.cc_115.s__Erysipelotrichaceae.cc_115.sp","s__Desulfovibrionaceae.sp.g__Desulfovibrionaceae.unidentified","s__Sphingomonas.sp.g__Actinomyces.s__Actinomyces.s__Roseburia.sp","s__Tepidimonas.sp.g__Tepidimonas","g__Rothia.s__mucilaginosa","g__Shewanella.f__Shewanellaceae","s__Parvimonas.sp.g__Parvimonas"
"s__fragilis",-0.261557187173593,-0.133845551501132,0.478277612755881,-0.0343723147677966,-0.0877144526977931,0.163934801002966,0.104010432698867,0.10985930742175,0.0650880716156635,-2.04572550496465e-20,0.317265444178263,-0.0733440269445113,0.177953891955224,0.0915037474870485,1,0.1368315606815,0.0396164931035291,-0.183021032997472,0.109275601644442,-0.173575344171562,-0.141573391171746,-0.173919131911229,-0.0112857278301466,0.0796787992858903,0.0507595025187083,0.0909592199952877,-0.0793143967521209
"c__Gammaproteobacteria.f__Enterobacteriaceae.o__Enterobacteriales",-0.155379700966105,0.0987802105468544,0.169523267048023,0.356904249340983,0.125884433603297,0.19952175991015,-0.172102521002593,0.20164428869643,-0.428912241372155,0.206989337476046,0.276323310868463,0.105577610832238,0.0557428239530091,-0.107102983827369,0.1368315606815,1,0.677610543568499,-0.0161627108877473,0.202661061940975,0.155022604026357,0.150442238945394,0.154232259438857,-0.0790719911140678,0.537993062691561,-0.227224575567862,-0.162104699423891,0.0842830374354533
"f__Myxococcales.0319.6G20.s__Myxococcales.sp",0.0178420395824572,0.0827629207683892,-0.0171234858910877,-0.0345031081491728,0.0106538319926183,0.180306830354488,0.0551266339251173,0.178797009352376,-0.402889034956115,0.265544150466295,0.19665495782711,0.120906932174793,0.108120111158833,0.0719802995296992,0.0396164931035291,0.677610543568499,1,0.099207829295611,0.112042691779883,0.157072179161286,0.146944468667343,0.180517357239667,-0.0519015806963406,0.614410196323764,0.0584764756416775,-0.0693014462364057,0.0823234634132098
"c__Lentisphaeria.o__Victivallales.p__Lentisphaerae",0.584438760387613,0.0488281422556604,-0.0257754937134317,0.0282135384905135,-0.172610392263931,-0.134561226070361,-0.105701155297711,0.219516658160201,-0.127628049762516,0.0703774181190283,-0.264096555323605,-0.0991568310894793,0.00237509591498778,-0.0535254214288782,-0.183021032997472,-0.0161627108877473,0.099207829295611,1,0.0705435768838446,0.0872517595418406,0.35599768379098,0.0039654605713033,-0.141839425955155,0.190519101786701,0.251530106696348,-0.136879036656606,-0.0795702969674585
"g__Streptococcus.f__Brevibacteriaceae.s__Brevibacterium.sp.c__Bacilli",0.117213950439605,0.171957091093101,0.146528893321214,0.25416875510312,0.135214628853755,0.186872367813161,-0.00886141763626503,0.132707790186692,-0.751898325192616,-0.12784878801983,0.139188788388888,0.14268127654325,-0.0490742578979428,-0.0758943993705812,0.109275601644442,0.202661061940975,0.112042691779883,0.0705435768838446,1,-0.622041936024771,0.14469893151282,0.222683321063239,-0.256405425974587,0.218803198158907,-0.150372945847738,-0.151260505446543,-0.0263337924516369
"c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",0.0694489101815186,-0.142155186555487,-0.0331912794260758,0.0485367550434416,0.0389660015668361,-0.0766473460499937,-0.158304290364966,0.0769025864005734,0.306759865666928,-0.0107838102543752,-0.227021329015285,-0.0979446505940911,-0.110635281142508,-0.108076026691138,-0.173575344171562,0.155022604026357,0.157072179161286,0.0872517595418406,-0.622041936024771,1,0.111429574679124,0.0533946669027177,-0.166832767353648,0.231800443430599,-0.176333383211431,-0.144909465525968,-0.0842385326996712
"g__Erysipelotrichaceae.cc_115.s__Erysipelotrichaceae.cc_115.sp",-0.0869900257155439,-0.10386842057969,0.335006874118208,0.240066121428915,-0.0325385809460174,-0.149343619345225,0.0210024806920859,-0.0808255331488028,-0.2020416852551,-0.126070373213139,-0.172584136916369,-0.0903980745456177,-0.0808377955888151,-0.161608576414482,-0.141573391171746,0.150442238945394,0.146944468667343,0.35599768379098,0.14469893151282,0.111429574679124,1,0.389234605540219,-0.14596446633805,0.169369451317279,-0.120048744528041,-0.105880887471907,-0.0615505037521103
"s__Desulfovibrionaceae.sp.g__Desulfovibrionaceae.unidentified",0.140260213393321,0.240476135365905,0.203367875647668,-0.0569721814993409,-0.16402622742171,-0.0687992436768011,0.0770235343996875,-0.180901881098306,-0.23365968324712,-0.154874088184798,-0.247030436829762,-0.0879158670238769,-0.0993070740063616,-0.19853182216508,-0.173919131911229,0.154232259438857,0.180517357239667,0.0039654605713033,0.222683321063239,0.0533946669027177,0.389234605540219,1,-0.161995540972889,0.0594473856614894,-0.188522433217087,-0.130071843887424,-0.0756131508376433
"s__Sphingomonas.sp.g__Actinomyces.s__Actinomyces.s__Roseburia.sp",-0.220561625899338,-0.137996938089053,-0.071206588656843,-0.0714797073117689,-0.117616821616554,-0.0122523835963342,0.0302601042240597,0.0049419050764713,0.352451942109976,0.428449811018509,0.152878535657828,-0.0788590112011916,0.156209090934695,0.223400576244389,-0.0112857278301466,-0.0790719911140678,-0.0519015806963406,-0.141839425955155,-0.256405425974587,-0.166832767353648,-0.14596446633805,-0.161995540972889,1,-0.419901723634246,0.0968083093080283,0.0947081812926378,0.186272510454824
"s__Tepidimonas.sp.g__Tepidimonas",0.223507483155799,-0.0158364744415467,0.170911233776843,0.358872990491271,0.0847560191122712,0.138868447000002,-0.0514232233804838,0.0904639291750193,-0.634061912017494,0.0763521993572493,-0.0992544350474545,-0.148206514171773,-0.031155041202625,-0.139128465239102,0.0796787992858903,0.537993062691561,0.614410196323764,0.190519101786701,0.218803198158907,0.231800443430599,0.169369451317279,0.0594473856614894,-0.419901723634246,1,-0.198080662259797,-0.349771686558944,-0.176218209133934
"g__Rothia.s__mucilaginosa",0.145549917019739,-0.108380338799846,-0.203644553528616,-0.242569172477587,0.0220587541533086,0.0535454279901531,0.350892397369506,-0.102352982728099,0.351634426701347,0.0922855274657726,-0.0882750720260579,-0.048616776654908,0.475811751654441,0.615423688842238,0.0507595025187083,-0.227224575567862,0.0584764756416775,0.251530106696348,-0.150372945847738,-0.176333383211431,-0.120048744528041,-0.188522433217087,0.0968083093080283,-0.198080662259797,1,0.689649685287543,-0.106663070424532
"g__Shewanella.f__Shewanellaceae",-0.195615199108988,-0.100101337262697,-0.130071843887424,-0.168261412081916,0.189232188069922,0.0479757495899624,0.541738150722271,-0.0971009461579526,0.316410363144564,-0.176172205875919,-0.205105296079451,-0.087119531590901,0.038952991653515,0.566354117569663,0.0909592199952877,-0.162104699423891,-0.0693014462364057,-0.136879036656606,-0.151260505446543,-0.144909465525968,-0.105880887471907,-0.130071843887424,0.0947081812926378,-0.349771686558944,0.689649685287543,1,-0.0593181998955286
"s__Parvimonas.sp.g__Parvimonas",-0.113714706536836,-0.058190745108872,-0.0756131508376434,-0.17117353391333,-0.0748028186233096,-0.0836675520668664,-0.0920542203489317,0.308285073074297,0.205158439958516,0.0882863255318989,0.511993977164635,-0.050644183139196,-0.0452881783704685,-0.0905388127118747,-0.0793143967521209,0.0842830374354533,0.0823234634132098,-0.0795702969674585,-0.0263337924516369,-0.0842385326996712,-0.0615505037521103,-0.0756131508376433,0.186272510454824,-0.176218209133934,-0.106663070424532,-0.0593181998955286,1
