"","name","member","reference","tsea_category","classification","host_gene","snp_id","mesh","omim","seq_inst","abund_change","relationship","evidence","host_sp","num_samples","host_age","host_site"
"11","Alzheimer's (decrease)","Bifidobacterium; SMB53; Dialister; Clostridium; Turicibacter; Adlercreutzia; cc115","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29051531'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.228.140.380.100; C10.574.945.249; F03.615.400.100","104300; 607822; 104310; 606889; 608907; 615590","16S rRNA - V4 region, Illumina MiSeq","Decrease","1","Figure 2","Homo Sapiens",50,"71.3±7.3","Gut (faecal)"
"12","Alzheimer's (increase)","Blautia; Bacteroides; Alistipes; Phascolarctobacterium; Bilophila; Gemella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29051531'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.228.140.380.100; C10.574.945.249; F03.615.400.100","104300; 607822; 104310; 606889; 608907; 615590","16S rRNA - V4 region, Illumina MiSeq","Increase","1","Figure 2","Homo Sapiens",50,"71.3±7.3","Gut (faecal)"
"13","Amyotrophic Lateral Sclerosis (ALS, decrease)","Oscillobacter; Anaerostipes; Lachnospira; Lachnospiraceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27703453'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.228.854.139; C10.574.562.250; C10.574.950.050; C10.668.467.250; C18.452.845.800.050","105400","16S rRNA - V3-V4 regions, Roche 454 platform","Decrease","1","Figure 4","Homo Sapiens",11,"45-77","Gut (faecal)"
"14","Amyotrophic Lateral Sclerosis (ALS, increase)","Dorea","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27703453'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.228.854.139; C10.574.562.250; C10.574.950.050; C10.668.467.250; C18.452.845.800.050","105400","16S rRNA - V3-V4 regions, Roche 454 platform","Increase","1","Figure 4","Homo Sapiens",11,"45-77","Gut (faecal)"
"15","Anaemia","Clostridium bolteae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C15.378.071",NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"16","Animals allergy","Lachnospiraceae bacterium 2 1 58FAA;  Coprobacillus unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C20.543","608584","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"17","Anorexic (decrease)","Lachnospiraceae; Ruminococcaceae; Anaerostipes; Faecalibacterium; Blautia; Lachnospira; Ruminococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26428446'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C23.888.821.108","606788","16S rRNA - V1-V3 regions, Roche 454 FLX","Decrease","1","Table 2","Homo Sapiens",28,"15-64","Gut (faecal)"
"18","Anorexic (increase)","Coriobacteriales; Porphyromonadaceae; Parabacteroides; Streptococcaceae; Actinomycetaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26428446'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C23.888.821.108","606788","16S rRNA - V1-V3 regions, Roche 454 FLX","Increase","1","Table 2","Homo Sapiens",28,"15-64","Gut (faecal)"
"19","Asthma","Helicobacter pylori; Bacteroidetes; Haemophilus; Prevotella; Proteobacteria; Staphylococcus; Comamonadaceae; Oxalobacteraceae; Sphingomonadaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/20052417'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C08.127.108; C08.381.495.108; C08.674.095; C20.543.480.680.095",NA,"16S rRNA - Real-Time PCR","Increase","1","Figure 1","Homo Sapiens",43,"57 ± 12.3","Nasal"
"20","Atopic dermatitis (Japan)","Clostridium difficile; Dietzia maris; Stenotrophomonas maltophilia; Staphylococcus aureus; Staphylococcus epidermidis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C16.320.850.210; C17.800.174.193; C17.800.815.193; C17.800.827.210; C20.543.480.343",NA,"16S rRNA - Real-Time PCR","Increase","1","Table 5","Homo Sapiens",23,"19-54","Skin (facial)"
"21","Atopicnsitisation","Clostridium difficile","<a href='https://www.ncbi.nlm.nih.gov/pubmed/18033838'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,NA,NA,"DNA - Real-Time PCR","Increase","1","Table 3","Homo Sapiens",957,"1 month","Gut (faecal)"
"22","Atopy","Clostridia","<a href='https://www.ncbi.nlm.nih.gov/pubmed/17047098'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Class",NA,NA,NA,NA,"16S rRNA - Fluorescence in situ hybridization","Increase","1","Table 3","Homo Sapiens",76,"3 weeks - 3 months","Gut (faecal)"
"23","Atrophic Vaginitis (decrease)","Lactobacillus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27103314'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C13.351.500.894.906.316",NA,"16S rRNA - V1-V3 regions, Illumina MiSeq","Decrease","1","Table 3","Homo Sapiens",177,"50-61","Vaginal Fluid"
"24","Atrophic Vaginitis (increase)","Gardnerella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27103314'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C13.351.500.894.906.316",NA,"16S rRNA - V1-V3 regions, Illumina MiSeq","Increase","1","Table 3","Homo Sapiens",177,"50-61","Vaginal Fluid"
"25","Autism (decrease_g)","Selenomonas; Prevotella; Fusobacterium; TM7_[G-1]; Treponema; Tannerella; Veillonellaceae_[G-1]; Alloprevotella; Olsenella; Dialister; Oribacterium; Peptococcus; Parvimonas; Peptostreptococcus; Atopobium; Peptostreptococcaceae_[XI][G-9]","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29371629'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"F03.625.164.113.500","209850; 609378; 608636; 606053; 611015; 611913","16S rRNA - V3-V4 regions, Illumina MiSeq","Decrease","1","Figure 3","Homo Sapiens",59,"7-14","Oral (plaque)"
"26","Autism (decrease)","Collinsella; Bifidobacterium longum; Bifidobacterium angulatum; Dialister invisus; Clostridium leptum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/20603222'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"F03.625.164.113.500","209850; 609378; 608636; 606053; 611015; 611913","16S rRNA - Variable regions, Roche 454 FLX","Decrease","1","Table 8","Homo Sapiens",40,"2-13","Gut (faecal)"
"27","Autism (g_decrease)","Fusobacterium; Rothia; Porphyromonas; Actinomyces; TM7_[G-1]; Lachnoanaerobaculum; Oribacterium; Catonella; Ruminococcaceae_[G-1]; TM7_G-6; Stomatobaculum; Lachnospiraceae_[G-2]; Peptostreptococcus; TM7_[G-3]; SR1_[G-1]; Peptrostreptococcaceae_[XI][G-1]; Solobacterium; Parvimonas; Ruminococcaceae_[G-2]; Peptococcus; Mogibacterium; Butyrivibrio","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29371629'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"F03.625.164.113.500","209850; 609378; 608636; 606053; 611015; 611913","16S rRNA - V3-V4 regions, Illumina MiSeq","Decrease","1","Figure 3","Homo Sapiens",59,"7-14","Oral (salivary)"
"28","Autism (g_increase)","Haemophilus; Corynebacterium; Neisseriaceae_unclassified; Cardiobacterium; Kingella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29371629'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"F03.625.164.113.500","209850; 609378; 608636; 606053; 611015; 611913","16S rRNA - V3-V4 regions, Illumina MiSeq","Increase","1","Figure 3","Homo Sapiens",59,"7-14","Oral (salivary)"
"29","Autism (increase_g)","Streptococcus; Rothia","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29371629'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"F03.625.164.113.500","209850; 609378; 608636; 606053; 611015; 611913","16S rRNA - V3-V4 regions, Illumina MiSeq","Increase","1","Figure 3","Homo Sapiens",59,"7-14","Oral (plaque)"
"30","Autism (increase)","Desulfovibrio; Desulfovibrio piger; Desulfovibrio desulfuricans; Desulfovibrio intestinalis; Bacteroides vulgatus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/20603222'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"F03.625.164.113.500","209850; 609378; 608636; 606053; 611015; 611913","16S rRNA - Variable regions, Roche 454 FLX","Increase","1","Table 7","Homo Sapiens",40,"2-13","Gut (faecal)"
"31","Bacteremia","Arcobacter butzleri JV22; Enterococcus faecalis HH22; Enterococcus faecalis TX0104; Enterococcus faecium DO; Enterococcus faecalis S613; Enterococcus faecalis R712; Campylobacter upsaliensis JV21","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.252.100; C01.539.757.100; C23.550.470.790.500.100",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"32","Bacterial vaginosis (increase_st)","Lachnospiraceae BVAB1; Clostridiales BVAB3; Sneathia sanguinegens; Mycoplasma hominis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.252.954; C13.351.500.894.906.800",NA,"Whole Genome Sequencing","Increase","1","https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Gut (faecal)"
"33","Bacterial Vaginosis (increase)","Clostridiales; Lactobacillus crispatus; Leptotrichia; Betaproteobacteria; Clostridium; Fusobacteria; Lactobacillus; Megasphaera; Olsenella; Porphyromonas uenonis; Shuttleworthia; Streptobacillus; Actinobacteria; Aerococcus; Atopobium; Atopobium vaginae; Eggerthella; Firmicutes; Fusobacteria; Gardnerella; Gardnerella vaginalis; Lactobacillus iners; Leptotrichia; Megasphaera; Mobiluncus; Papillibacter; Prevotella; Eggerthella; Leptotrichia amnionii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/11150002'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C01.252.954; C13.351.500.894.906.800",NA,"16S rRNA - Fluorescence in situ hybridization","Increase","1","Table 1","Homo Sapiens",73,"18-42","Vaginal Fluid"
"34","Bacterial vaginosis (sp_increase)","Lactobacillus crispatus; Lactobacillus jensenii; Lactobacillus iners; Mageeibacillus indolicus; Atopobium vaginae; Gardnerella vaginalis; Mobiluncus curtisii; Mobiluncus mulieris; Bacteroides fragilis; Mycoplasma hominis; Ureaplasma urealyticum; Sneathia sanguinegens; Mycoplasma genitalium","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28007924'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C01.252.954; C13.351.500.894.906.800",NA,"16S rRNA - qPCR","Increase","1","Table 3","Homo Sapiens",221,"18-45","Vaginal"
"35","Bacterial vaginosis (st_increase)","Gardnerella vaginalis 317, ATCC 14019; Gardnerella vaginalis 409-05; Mobiluncus mulieris 28-1; Mobiluncus mulieris ATCC 35239; Gardnerella vaginalis JCM 11026; Gardnerella vaginalis 403-17; Gardnerella vaginalis 315-A","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.252.954; C13.351.500.894.906.800",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"36","Beta Defensin 2","Eggerthella unclassified; Bacteroidales bacterium ph8; Barnesiella intestinihominis; Parabacteroides merdae; Streptococcus australis; Streptococcus thermophilus; Eubacterium siraeum; Subdoligranulum unclassified; Phascolarctobacterium cinatutens; Veillonella unclassified; Bilophila unclassified; Akkermansia muciniphila","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"37","Bipolar Disorder","Faecalibacterium; Ruminococcaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27988330'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"F03.084.500","125480","16S rRNA - V4 region, Illumina MiSeq","Decrease","1","Table 3","Homo Sapiens",179,"50.8±12.8","Gut (faecal)"
"38","BMI","Bacteroides cellulosilyticus; Bacteroidales bacterium ph8; Barnesiella intestinihominis; Odoribacter splanchnicus; Alistipes finegoldii; Alistipes senegalensis; Anaerotruncus unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"39","Bristol av.stool.freq","Lachnospiraceae bacterium 3 1 57FAA CT1; Clostridium bartlettii; Peptostreptococcaceae noname unclassified; Faecalibacterium prausnitzii; Subdoligranulum unclassified; Turicibacter unclassified; Veillonella unclassified; Bilophila unclassified; Escherichiali; Bacteroides caccae; Bacteroides vulgatus; Bacteroidales bacterium ph8; Alistipes finegoldii; Alistipes onderdonkii; Alistipes shahii; Eubacterium rectale; Lachnospiraceae bacterium 3 1 57FAA CT1; Roseburia inulinivorans; Faecalibacterium prausnitzii; Ruminococcus 5 1 39BFAA; Subdoligranulum unclassified; Veillonella parvula; Veillonella unclassified; Escherichiali; Haemophilus parainfluenzae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"40","Bristol av. stool type adjusted","Faecalibacterium prausnitzii; Veillonella unclassified; Lachnospiraceae bacterium 3 1 57FAA CT1; Haemophilus parainfluenzae; Ruminococcus 5 1 39BFAA; Veillonella parvula","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"41","Caesarean section birth (decrease)","Bifidobacteria","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23642791'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Genus",NA,NA,NA,NA,"Quantative fluorescence in situ hybridisation Bifidobacterium sp. With genus-specific 16S rRNA-targeted probes","Decrease",NA,"At 1 month of age...the number of bifidobacteria was 1,300-fold higher in vaginally delivered infants compared to caesarean section-born infants (p = 0.001).","Homo Sapiens",165,"1 month","Gut (faecal)"
"42","Caesarean section birth (increase)","Bacteroidetes","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23926244'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Phylum",NA,NA,NA,NA,"16S rRNA - V3-V4 region, Roche 454 platform","Decrease",NA,"Table S5","Homo Sapiens",24,"0-2","Gut (faecal)"
"43","Calprotectin","Rothia mucilaginosa; Bifidobacterium dentium; Lactobacillus sakei; Streptococcus anginosus; Streptococcus australis; Streptococcus mutans; Streptococcus parasanguinis; Streptococcus salivarius; Streptococcus sanguinis; Streptococcus vestibularis; Veillonella parvula; Veillonella unclassified; Escherichiali; Escherichia unclassified; Haemophilus parainfluenzae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"44","Cessation Smoking (decrease)","Comamonadaceae; Parasutterell","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23516617'target='_blank'><u>PubMed</u></a>","1.5 - Lifestyle","Mixed",NA,NA,"F01.145.488.732",NA,"16S rRNA - V1-V2 regions, Roche 454 FLX","Decrease","1","Figure S5","Homo Sapiens",10,"18-60","Gut (faecal)"
"45","Cessation Smoking (increase)","Roseburia; Lachnobacterium; Collinsella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23516617'target='_blank'><u>PubMed</u></a>","1.5 - Lifestyle","Genus",NA,NA,"F01.145.488.732",NA,"16S rRNA - V1-V2 regions, Roche 454 FLX","Increase","1","Figure S5","Homo Sapiens",10,"18-60","Gut (faecal)"
"46","Chronic heart failure (decrease)","Faecalibacterium prausnitzii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29330424'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C14.280.434",NA,"Metagenomic paired-end sequencing – Illumina","Decrease",NA,"Figure 3","Homo Sapiens",94,"58.08±13.30 (CHF); 53.73±5.94 (controls)","Gut (faecal)"
"47","Chronic heart failure (increase)","Ruminococcus gnavus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29330424'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C14.280.434",NA,"Metagenomic paired-end sequencing – Illumina","Decrease",NA,"Figure 3","Homo Sapiens",94,"58.08±13.30 (CHF); 53.73±5.94 (controls)","Gut (faecal)"
"48","ChromograninA","Methanobrevibacter smithii; Methanobrevibacter unclassified; Bifidobacterium longum; Adlercreutzia equolifaciens; Eggerthella lenta; Eggerthella unclassified; Gordonibacter pamelaeae; Olsenella unclassified; Bacteroides caccae; Bacteroides cellulosilyticus; Bacteroides dorei; Bacteroides eggerthii; Bacteroidesecis; Bacteroides intestinalis; Bacteroides massiliensis; Bacteroides plebeius; Bacteroides salyersiae; Bacteroides stercoris; Bacteroides thetaiotaomicron; Bacteroides uniformis; Bacteroides vulgatus; Bacteroidales bacterium ph8; Barnesiella intestinihominis; Odoribacter splanchnicus; Parabacteroides distasonis; Parabacteroides goldsteinii; Parabacteroides johnsonii; Parabacteroides merdae; Parabacteroides unclassified; Paraprevotella clara; Paraprevotella unclassified; Prevotella copri; Alistipes finegoldii; Alistipes indistinctus; Alistipes onderdonkii; Alistipes putredinis; Alistipes senegalensis; Alistipes shahii; Lactobacillus delbrueckii; Lactobacillus sakei; Streptococcus australis; Streptococcus parasanguinis; Streptococcus salivarius; Streptococcus sanguinis; Streptococcus thermophilus; Clostridium L2 50; Eubacterium eligens; Eubacterium rectale; Eubacterium siraeum; Blautia hydrogenotrophica; Ruminococcus gnavus; Ruminococcus torques; Butyrivibrio crossotus; Coprococcus catus; Coprococcus eutactus; Coprococcus ART55 1; Lachnospiraceae bacterium 1 1 57FAA; Lachnospiraceae bacterium 1 4 56FAA; Lachnospiraceae bacterium 2 1 58FAA; Lachnospiraceae bacterium 7 1 58FAA; Roseburia hominis; Anaerotruncus unclassified; Ruminococcus bromii; Ruminococcus 5 1 39BFAA; Subdoligranulum unclassified; Catenibacterium mitsuokai; Coprobacillus unclassified; Eubacterium biforme; Phascolarctobacterium succinatutens; Dialister invisus; Mitsuokella unclassified; Veillonella unclassified; Sutterella wadsworthensis; Bilophila unclassified; Desulfovibrio piger; Akkermansia muciniphila","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"49","Chronic nose throat infection","Bacteroides caccae; Coprobacillus unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C01; C08; C09",NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"50","Chronic nose throat infection (Adjusted)","Coprobacillus unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C01; C08; C09",NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"51","Cirrhosis (China, decrease)","Faecalibacterium prausnitzii; Bacteroides. D20; Alistipes putredinis; Bacteroides. 4 1 36; Bacteroides uniformis; Eubacterium eligens; Eubacterium rectale; Parabacteroides merdae; Bacteroides finegoldii; Odoribacter splanchnicus; Roseburia intestinalis; Bacteroides eggerthii; Ruminococcus. 5 1 39BFAA; Bacteroides. 1 1 30; Roseburia hominis; Bacteroides. 9 1 42FAA; Bilophila wadsworthia; Eubacterium hallii; Alistipes finegoldii; Parabacteroides distasonis; Bacteroides; Eubacterium; Alistipes; Faecalibacterium; Roseburia; Parabacteroides; Odoribacter; Ruminococcus; Dorea; Bilophila; Coprococcus; Tannerella; Subdoligranulum; Holdemania; Phascolarctobacterium","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25079328'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C06.552.630","215600","16S rRNA - Illumina MiSeq","Decrease","1","Figure 1A","Homo Sapiens",114,"43±9","Gut (faecal)"
